Testing error
T(0.0): precision: 0.008477335466954844, recall: 1.0, coverage: 1, TP: 44055, FP: 5152743, nbPos: 44055
T(54.0): precision: 0.0287147598884159, recall: 0.7507206900465327, coverage: 1, TP: 33073, FP: 1118704, nbPos: 44055
T(56.0): precision: 0.030913918610063353, recall: 0.740233798660765, coverage: 1, TP: 32611, FP: 1022286, nbPos: 44055
T(58.0): precision: 0.03312115943103216, recall: 0.7302916808534786, coverage: 1, TP: 32173, FP: 939200, nbPos: 44055
T(60.0): precision: 0.035226080730828786, recall: 0.7203495630461922, coverage: 1, TP: 31735, FP: 869160, nbPos: 44055
T(62.0): precision: 0.03675595709089289, recall: 0.7117239813869027, coverage: 1, TP: 31355, FP: 821704, nbPos: 44055
T(64.0): precision: 0.03776342698278309, recall: 0.7066848257859494, coverage: 1, TP: 31133, FP: 793289, nbPos: 44055
T(66.0): precision: 0.03849358894868679, recall: 0.7046192259675406, coverage: 1, TP: 31042, FP: 775378, nbPos: 44055
T(68.0): precision: 0.039078855547801813, recall: 0.7029395074338894, coverage: 1, TP: 30968, FP: 761481, nbPos: 44055
T(70.0): precision: 0.039652851285107954, recall: 0.7006696175235501, coverage: 1, TP: 30868, FP: 747588, nbPos: 44055
T(72.0): precision: 0.040311999979049856, recall: 0.6988310066961753, coverage: 1, TP: 30787, FP: 732931, nbPos: 44055
T(74.0): precision: 0.040965434244835196, recall: 0.6954034729315628, coverage: 1, TP: 30636, FP: 717214, nbPos: 44055
T(76.0): precision: 0.041813562623632665, recall: 0.6918851435705369, coverage: 1, TP: 30481, FP: 698493, nbPos: 44055
T(78.0): precision: 0.04291951315940501, recall: 0.6875042560435819, coverage: 1, TP: 30288, FP: 675405, nbPos: 44055
T(80.0): precision: 0.04448169846751693, recall: 0.6817841334695267, coverage: 1, TP: 30036, FP: 645208, nbPos: 44055
T(82.0): precision: 0.046849854530996576, recall: 0.6740211099761662, coverage: 1, TP: 29694, FP: 604118, nbPos: 44055
T(84.0): precision: 0.05022485394839395, recall: 0.661150834184542, coverage: 1, TP: 29127, FP: 550805, nbPos: 44055
T(86.0): precision: 0.05522180519566034, recall: 0.6472364090341618, coverage: 1, TP: 28514, FP: 487840, nbPos: 44055
T(88.0): precision: 0.06200215333342268, recall: 0.630053342412893, coverage: 1, TP: 27757, FP: 419921, nbPos: 44055
T(90.0): precision: 0.07110781636658418, recall: 0.6052888434910907, coverage: 1, TP: 26666, FP: 348342, nbPos: 44055
T(92.0): precision: 0.08463828398988663, recall: 0.5653387810691182, coverage: 1, TP: 24906, FP: 269358, nbPos: 44055
T(94.0): precision: 0.10769558358094833, recall: 0.5051413006469186, coverage: 1, TP: 22254, FP: 184384, nbPos: 44055
T(96.0): precision: 0.1456194137589826, recall: 0.4075360345023266, coverage: 1, TP: 17954, FP: 105340, nbPos: 44055
T(98.0): precision: 0.1922556431677523, recall: 0.24185676994665758, coverage: 1, TP: 10655, FP: 44766, nbPos: 44055
T(100.0): precision: 0.26665514559751147, recall: 0.0700488026330723, coverage: 1, TP: 3086, FP: 8487, nbPos: 44055
